Username,Comment sentiment,Comment subjectivity,Date,Likes,Replies,Link
              @jacobmorin485            ,0.4019,0.1,03-07-2023,2,1,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @adrianwijesuriya9164            ,0.9229,0.8,03-02-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @TrollMcLolTheFirst            ,0.8979,0.6666666666666666,15-03-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @GandarDooM            ,0.9697,0.4092063492063492,None,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @marianalazarevic1210            ,-0.7906,0.3805555555555555,03-07-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @macallan1010            ,0.7735,1.0,03-07-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @johngarvin646            ,0.3182,0.0,03-10-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @bamboo1763            ,0.7506,0.3333333333333333,03-07-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @iamhudsdent2759            ,-0.7008,0.6078431372549019,03-08-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @ClassicChristianRadio            ,0.3612,0.5,03-07-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @jeffmasa5530            ,-0.234,0.626530612244898,None,0,2,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @alanprifogle3222            ,0.0,0.0,03-05-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @2390Rick            ,0.6369,0.57,03-05-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @BennyNegroFromQueens            ,0.0,0.5535714285714286,03-12-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @petercomeau7540            ,0.4926,0.2,03-09-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @servantofallah3113            ,0.0,0.0,03-11-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @SirPhillip            ,0.0,0.0,23-02-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @micheleus9251            ,-0.6908,0.24444444444444444,03-12-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
