,Username,Comment,Likes,Replies,link
74,              Disha Sunderji            ,"B-Muscular system, than u for excellence in video making.  Keep it up pls.",2,0,https://www.youtube.com/watch?v=ad79nYk2keg
75,              Kangkan Ray            ,D. AI that develops emotions over time.,8,0,https://www.youtube.com/watch?v=ad79nYk2keg
76,              Saksham            ,My teacher making me learn AI by this video interesting,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
77,              HARSH DEVMURARI            ,"Awesome content 
Love from INDIA️",0,0,https://www.youtube.com/watch?v=ad79nYk2keg
78,              Siddheshwar More            ,AI that developes emotions over time..,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
79,              Chakradhar Naidu Sankarana            ,Tq for the video i have a doubt in this three AI Or ML Or DL what is the order to learn this courses. Which course should I start first,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
80,              JAGADEESH KUMAR Posimsetti            ,Option D. AI that develops emotions overtime,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
81,              Yash Sharma            ,D.robot that develops emotions over time.,3,0,https://www.youtube.com/watch?v=ad79nYk2keg
82,              WTF how bizarre            ,"the goal of AI is to 'think' like a human. in my experience, they don't 'think.' They don't have an inner monologue to let them think in words. Of course they'd need to have 70,000 thoughts a day like people do. and maybe even 86, billion nodes in their deep learning   as the average male brain has 86 billion neurons. 
But which person do you want your AI to think like? i would not want an AI Adolf Hitler. i'd rather have a Abraham Lincoln AI.",1,0,https://www.youtube.com/watch?v=ad79nYk2keg
83,              Isil Avunduk            ,Answer is D.  The first robot Sophia has a citizenship. There are AI robots replicate human movements with muscular skeletal system. And there are Japanese AIs can read their owner’s emotions.,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
84,              Barkha Khatri            ,sir i wanted to learn cyber security course and penetration testing course..but i don't have that advanced pc to install those applications of phython and linux.. what can i do now? :( or suggest me if there if any other course,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
85,              Geetha Kasanagottu            ,This really helped me for my future step.. Thanks Simplilearn...,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
86,              Vinay Goud            ,Very informative,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
87,              Seema Ramji            ,"A- Sophia the robot has a Saudi Arabian citizenship
B- Japanese robot kengoro has a skeletal system
C- Siri and Alexa understand their owners emotions 
D- IS THE ANSWER",14,0,https://www.youtube.com/watch?v=ad79nYk2keg
88,              HTarun Kapoor            ,Sophia got the citizen ship of Dubai. A bot can read it's owner expression because he is fed with a lot of images. Sophia can develop emotions over time but a bot didn't got a muscular skeletal system so b would be the right answer as per me.,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
89,              monica wairimu            ,The answer is D : AI that develops emotions over time,2,0,https://www.youtube.com/watch?v=ad79nYk2keg
90,              Dr. SONIKA            ,NYC video it helped me a lot ,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
91,              Ganisha Garg            ,Answer D -AI develops emotions  over time,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
92,              Kirshan Kumar            ,AI that develops emotions over time because they have not real heart ,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
93,              drannoc100            ,"I don’t know any AI can read owners’ emotion yet. So, c and d. But do we really have AI with citizenship? Probably not, either. So then it’s A, Cand D.",3,0,https://www.youtube.com/watch?v=ad79nYk2keg
94,              Jndd            ,"There isn't an AI that develops emotions over time, so the answer is D.",1,0,https://www.youtube.com/watch?v=ad79nYk2keg
95,              Robertson James            ,"The answer is D
(AI that develops emotions over time)",0,0,https://www.youtube.com/watch?v=ad79nYk2keg
96,              Mannu            ,"Option d, and the video was fantastic ️",2,0,https://www.youtube.com/watch?v=ad79nYk2keg
97,              Yasir Jamil            ,The answer will be D- AI that develops emotions over time,2,0,https://www.youtube.com/watch?v=ad79nYk2keg
98,              Abhishek Patil            ,Option B is a correct ans..,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
99,              Safeena OT            ,Answer D AI that develops emotions over time,3,0,https://www.youtube.com/watch?v=ad79nYk2keg
100,              Sonika Kotwal            ,all the options are correct when the future of AI is devloped,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
101,              Anshul            ,AI that develops emotions - I remember chitti from Indian movie 'Robot'.,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
102,              stay blessed            ,"the answer is D
(AI that develops emotions over time)",1,0,https://www.youtube.com/watch?v=ad79nYk2keg
103,              Gbemileke Sonde            ,Wow! This is mind blowing,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
104,              Nitish kumar            ,I want to make my own AI like alexa. What should i have to learn for it.,5,0,https://www.youtube.com/watch?v=ad79nYk2keg
105,              Kankamon Phookronghin            ,Love this <3,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
106,              Ashmita Mitra            ,"D. Ai that develops emotions over time ️
Is the correct answer to this question",0,0,https://www.youtube.com/watch?v=ad79nYk2keg
107,              Madan Raj            ,"Option D is correct 
Thanks for the video",0,0,https://www.youtube.com/watch?v=ad79nYk2keg
108,              Baski Babu            ,Answer for the question : AI that develop emotions over time,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
109,              Hitesh Giri            ,Ai that develops emotions over time,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
110,              Prakhar             ,"The answer is 'D'
 AI that develops emotions over time are still not developed",4,0,https://www.youtube.com/watch?v=ad79nYk2keg
111,              Srijita Chaulia            ,The answer is D. Al that develops emotions over time,4,0,https://www.youtube.com/watch?v=ad79nYk2keg
112,              zaurakdigis            ,"A computer algorithm is hardly artificial intelligence, like calculators it only lowers overall human intelligence",1,0,https://www.youtube.com/watch?v=ad79nYk2keg
113,              Ranapratapsingh Pravin Patil            ,Option D AI that develops emotions over time,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
114,              Gunjan Singh Hada            ,"-> There is a robot with citizenship exists. 
-> Also, there is a robot with muscular skeleton system.
-> And also,  we have an AI that can read human emotions by smart recognisations.
-> But most importantly, AI that develops emotions over time does not exits till now.

So the answer of the question that is asked in above video is surely ""D"". 
",0,0,https://www.youtube.com/watch?v=ad79nYk2keg
115,              Rishika belamkar            ,AI that can read it's owner's emotions,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
