,Username,Comment,Likes,Replies,Date,link
32,              Abul            ,I think it is D-AI that develops emotions in very time.,2,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=Ugx4lhVCim_kqdFYRn94AaABAg"" spellcheck=""false"">8 months ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
33,              Vaibhavi            ,option d as far as I know but your videos are very helpful to me.Thanks,2,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=Ugx2XFZAvE_QrSH9J0p4AaABAg"" spellcheck=""false"">4 months ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
34,              LTS Group            ,wow. very helpful video. Thanks :),1,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=UgxU2Q5xnf3x_cClSC94AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
35,              Pooja Gupta            ,"Shared this video with my friends too over WhatsApp, thank you Simplilearn for providing such videos. 
Answer is D",6,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=Ugzi6avN0xpbXsQaMeF4AaABAg"" spellcheck=""false"">3 years ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
36,              Kinman Simon            ,"The answer is D
Your channel is one of the best about Computer Science among Youtube!",5,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=Ugw5tPvmD9zM_hgfJih4AaABAg"" spellcheck=""false"">3 years ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
37,              Rick Roberts            ,"AI that develops emotion over time is the answer to the quiz question. AI will, however, develop this ability.",1,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=UgxwAwrUeV4tvl8BtdN4AaABAg"" spellcheck=""false"">6 months ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
38,              Tuhin Chakraborty            ,"""Option D:- AI that develops emotions over time.."" is the answer..
(Nice video)...",2,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=UgzoYULW9BCN2aA-SV14AaABAg"" spellcheck=""false"">3 years ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
39,              Crazy Siblings            ,I think the answer should be option C. AI that can read owner's emotions. But on the research update of 2020 reported that there is a robot named Milo which can analyze the emotions and feelings of children and elders. But its not launched yet......,1,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=Ugwa9FlNgQqgPRe1riR4AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
40,              Krishna Tutorial.            ,AI that develops emotions over time,1,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=UgxGVM5rp2_cK3SoOvV4AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
41,              Broley            ,An AI that develops emotions overtime.,5,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=Ugyh2FetTLwqV7xIZEZ4AaABAg"" spellcheck=""false"">2 months ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
42,              Nour Dey            ,thank you so much ... I liked the video ...your way of explaining is superb,1,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=Ugy3J4HOXDfa-_I8-7J4AaABAg"" spellcheck=""false"">7 months ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
43,              inyourfacetimmy            ,"Answer D is still correct, but will change over time. It's Amazing!",3,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=UgzsbpUCQhbdGvcDelh4AaABAg"" spellcheck=""false"">3 years ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
44,              EVM fx            ,Option D. AI that develops emotions over time,1,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=UgwgilCv-sI48qkj9el4AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
45,              Aadya Gautam            ,The answer is definitely D. An AI still cannot develop emotions according to time...,9,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=UgxakyakIFLEuEHxw_p4AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
46,              Beatriz Maria Mendez            ,"A ROBOT THAT DEVELOPS EMOTIONS DOESN´T EXIST....YET....
Really nice video, I will show it to my students.",13,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=UgyiIK8JuPIUb90UcEF4AaABAg"" spellcheck=""false"">3 years ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
